function,dimension,mu,lambda,strategy,run,best_fitness,generations,function_evals,time,converged
rastrigin,10,N/A,N/A,L-BFGS-B,6,72.63164222223001,14,220,0.0028018951416015625,False
rastrigin,10,N/A,N/A,L-BFGS-B,7,64.6720608108646,9,154,0.001947164535522461,False
rastrigin,10,N/A,N/A,L-BFGS-B,8,48.752817018385834,16,264,0.0033102035522460938,False
rastrigin,10,N/A,N/A,L-BFGS-B,9,52.73264820935276,11,176,0.0023610591888427734,False
rastrigin,10,N/A,N/A,L-BFGS-B,10,67.65691274761204,10,154,0.0020406246185302734,False
rastrigin,10,N/A,N/A,L-BFGS-B,11,92.53051358277158,16,275,0.003484010696411133,False
rastrigin,10,N/A,N/A,L-BFGS-B,12,86.5607895125168,17,264,0.0033538341522216797,False
rastrigin,10,N/A,N/A,L-BFGS-B,13,67.65693294448016,11,165,0.0022258758544921875,False
rastrigin,10,N/A,N/A,L-BFGS-B,14,50.74268951851017,16,275,0.0036690235137939453,False
rastrigin,10,N/A,N/A,L-BFGS-B,15,85.56595255483782,10,176,0.0022192001342773438,False
rastrigin,10,N/A,N/A,L-BFGS-B,16,43.777924868076205,17,253,0.003330707550048828,False
rastrigin,10,N/A,N/A,L-BFGS-B,17,75.61645358261313,9,143,0.0018830299377441406,False
rastrigin,10,N/A,N/A,L-BFGS-B,18,42.78310810718604,13,209,0.0026121139526367188,False
rastrigin,10,N/A,N/A,L-BFGS-B,19,84.57099349773767,14,231,0.0028727054595947266,False
rastrigin,10,N/A,N/A,L-BFGS-B,20,73.62653995310306,15,264,0.0035331249237060547,False
rastrigin,10,N/A,N/A,L-BFGS-B,21,78.60126438975078,12,209,0.0026161670684814453,False
rastrigin,10,N/A,N/A,L-BFGS-B,22,56.71241862672214,13,187,0.0025980472564697266,False
rastrigin,10,N/A,N/A,L-BFGS-B,23,84.57099349781517,8,143,0.00196075439453125,False
rastrigin,10,N/A,N/A,L-BFGS-B,24,107.45487984343391,13,231,0.0032961368560791016,False
rastrigin,10,N/A,N/A,L-BFGS-B,25,46.76278184379983,22,440,0.005417823791503906,False
rastrigin,10,N/A,N/A,L-BFGS-B,26,89.5455193498848,8,143,0.001767873764038086,False
rastrigin,10,N/A,N/A,L-BFGS-B,27,87.55582505503324,15,242,0.003198862075805664,False
rastrigin,10,N/A,N/A,L-BFGS-B,28,59.69731617733924,12,198,0.0026078224182128906,False
rastrigin,10,N/A,N/A,L-BFGS-B,29,82.58095328457316,13,253,0.003132343292236328,False
rastrigin,10,N/A,N/A,L-BFGS-B,30,86.56085083888493,17,253,0.003171205520629883,False
